"ID","sex","age","edu","tenure","C","N","ch_str","hi_str","WE","posi_jc","nega_jc","JC1","JC2","JC3","JC4","JC5","JC6","JC7","JC8","JC9","JC10","JC11","JC12","JC13","JC14","JC15","JC16","JC17","JC18","JC19","JC20","JC21","mc_c","mc_n","mc_ch","mc_hi","mc_enga"
67,1,32,2,18,4.5,1.66666666666667,3.66666666666667,2.8,3.77777777777778,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.627717391304348,-1.11413043478261,-0.0208333333333335,0.280434782608696,-0.140096618357489
68,1,42,2,114,3.33333333333333,3.33333333333333,4.5,3.4,4.44444444444444,4.66666666666667,4.5,5,5,5,5,5,3,4,4,4,5,5,4,5,4,5,4,5,4,5,5,4,-0.538949275362319,0.552536231884058,0.8125,0.880434782608696,0.526570048309178
71,1,36,2,60,3.16666666666667,1.66666666666667,3.33333333333333,2,3.55555555555556,3.86666666666667,3.5,5,4,4,5,4,3,3,3,4,3,4,4,4,4,3,4,2,3,3,5,4,-0.705615942028986,-1.11413043478261,-0.354166666666667,-0.519565217391304,-0.36231884057971
72,1,43,3,11,3,2.33333333333333,3.83333333333333,2,3.88888888888889,3.6,3.5,4,4,4,4,4,2,4,4,4,3,3,3,3,3,3,2,4,4,4,4,4,-0.872282608695652,-0.447463768115942,0.145833333333333,-0.519565217391304,-0.0289855072463769
82,1,39,3,36,3.83333333333333,2.5,3.5,3.8,2.66666666666667,3.66666666666667,2,4,4,5,4,5,4,4,2,2,2,2,3,4,4,1,4,5,4,3,3,2,-0.0389492753623188,-0.280797101449275,-0.1875,1.2804347826087,-1.2512077294686
87,1,38,3,92,3.66666666666667,2,3.83333333333333,2.8,3.77777777777778,3.8,3.25,4,4,3,4,3,3,3,3,3,3,4,4,4,4,4,4,4,3,4,4,4,-0.205615942028986,-0.780797101449275,0.145833333333333,0.280434782608696,-0.140096618357489
111,1,39,3,31,3.16666666666667,3.5,3.5,2.8,4,3.86666666666667,3.5,4,4,3,4,4,4,4,3,4,4,3,4,4,4,4,4,4,3,4,4,4,-0.705615942028986,0.719202898550725,-0.1875,0.280434782608696,0.0821256038647342
118,1,35,3,61,3.83333333333333,2.5,3.5,3.4,3.77777777777778,3.8,3.5,3,4,4,4,4,4,4,3,4,4,3,4,3,4,3,4,4,4,4,4,4,-0.0389492753623188,-0.280797101449275,-0.1875,0.880434782608696,-0.140096618357489
124,1,57,3,156,4.33333333333333,2.5,3,3,4.77777777777778,4.53333333333333,4,4,5,4,4,5,5,5,3,3,5,5,3,3,5,5,5,5,5,5,5,5,0.461050724637681,-0.280797101449275,-0.6875,0.480434782608696,0.859903381642512
128,1,35,3,28,3.66666666666667,3,3,2.6,4.55555555555556,3.4,3.5,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,4,-0.205615942028986,0.219202898550725,-0.6875,0.080434782608696,0.63768115942029
140,1,40,1,51,3.66666666666667,2.83333333333333,3.33333333333333,2.8,3.77777777777778,3.6,2.75,4,5,5,4,4,4,3,3,3,3,2,3,3,3,4,4,3,3,3,3,3,-0.205615942028986,0.0525362318840581,-0.354166666666667,0.280434782608696,-0.140096618357488
143,1,41,3,132,4.5,2.66666666666667,4.83333333333333,2,4.77777777777778,4.53333333333333,2.75,5,5,5,5,5,5,5,4,2,2,3,4,4,4,4,4,4,4,5,5,5,0.627717391304348,-0.114130434782609,1.14583333333333,-0.519565217391304,0.859903381642513
147,1,36,1,6,4.16666666666667,2.5,2.83333333333333,2.4,4.22222222222222,3.53333333333333,2,5,5,5,5,4,3,4,2,2,2,2,3,2,3,2,3,3,3,3,4,3,0.294384057971015,-0.280797101449275,-0.854166666666667,-0.119565217391304,0.304347826086957
165,1,33,1,7,4.5,2.66666666666667,4,2.2,4.77777777777778,4.26666666666667,3,5,5,5,5,5,3,3,2,5,3,2,3,3,5,3,3,3,5,4,5,5,0.627717391304348,-0.114130434782609,0.3125,-0.319565217391304,0.859903381642512
167,1,37,2,86,3.5,2.66666666666667,3.33333333333333,2.4,4.55555555555556,4.13333333333333,2.75,4,4,4,4,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,5,5,-0.372282608695652,-0.114130434782609,-0.354166666666667,-0.119565217391304,0.63768115942029
